Timestamp,Open,High,Low,Close,Volume
1700000000,30001.158559563308,30006.907419416442,30000.066106030717,30003.656604957054,212.1214378654774
1700000060,29989.80141131193,29995.043295722215,29989.98460974816,29991.176795682168,189.10914222085898
1700000120,29996.249955089093,30001.81400009581,29997.9246247307,30000.182210031846,136.89586774454443
1700000180,30014.56465229402,30016.0611052966,30009.630221125568,30011.46898662854,224.293880075512
1700000240,29988.58728458132,29991.722587420034,29987.492362648103,29988.05656436469,132.0192467876884
1700000300,29973.35545305023,29976.45395322525,29970.702500519787,29972.430410282344,163.8354944258976
1700000360,29977.91186047317,29977.569305939487,29972.213870328887,29973.96449512035,131.0449282061351
1700000420,29968.04892960267,29971.961862239394,29967.55905581708,29970.16958401223,178.52044312436053
1700000480,29970.508763233785,29971.383132562492,29965.10621245748,29969.96797012218,127.66429035664707
1700000540,29958.252180581323,29961.84402833919,29957.38135537874,29959.731442991295,286.8675593512916
1700000600,29965.56467482099,29970.769370492315,29965.712087911485,29970.28421868965,332.6015060599228
1700000660,29980.32420929845,29981.874124422626,29977.309933621986,29979.617721914798,210.51887186609383
1700000720,29981.252396250846,29980.62579520101,29979.872373781156,29980.41009028553,274.9305883386716
1700000780,29993.6996564297,29993.956714569285,29992.786220292768,29993.93698476915,80.18321531790856
1700000840,29997.572602170207,30004.204591573547,29997.509508495885,29999.547096876173,84.05311350797973
1700000900,29990.369013372194,29992.682271624515,29987.608743456723,29989.235587321575,130.50033232973516
1700000960,29994.922519924825,29996.469831465893,29989.3314502929,29993.660596730562,150.88114174623271
1700001020,29980.039626980135,29983.859515717733,29978.760777509633,29982.154005520617,137.1008837757532
1700001080,29991.938130488626,29995.54809920973,29989.80386687671,29992.695409136304,76.9492335711924
1700001140,29996.18575473048,29996.55417708616,29989.640150448286,29992.09629820447,235.24715444825873
1700001200,29992.328733440863,29993.139850511645,29987.89159675048,29989.877949841924,351.313607542676
1700001260,29978.704323581424,29984.719205298843,29978.645833109917,29981.706795309077,247.7437811712567
1700001320,29995.573434807007,29998.678313888024,29995.754255545944,29996.377291373166,229.11161980109674
1700001380,29996.047329450415,29996.251422741592,29993.710271647255,29994.52293758834,162.46260335063906
1700001440,29989.723823036853,29992.87573929199,29987.867421955398,29989.38300372238,105.9323890769019
1700001500,29985.130927770922,29990.062305821604,29984.30147803422,29985.157401116525,152.78187048800257
1700001560,29990.073644622604,29993.668899810767,29988.15961774804,29991.545111343163,344.54862074615824
1700001620,29998.64696690525,29997.891466135603,29995.8065985085,29995.93044011553,128.92163704299196
1700001680,30002.565129732026,30003.02379881651,30000.082343996353,30000.883231454685,123.71952405670122
1700001740,30005.507171981055,30008.18080333103,30001.540042943285,30006.05308349078,231.11639628570182
1700001800,30031.952523862215,30036.70597856807,30026.765138960116,30031.752854701226,237.33542129542207
1700001860,30025.732156139336,30030.409765792156,30024.43792211547,30026.87587450461,105.72477737843496
